angDist,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,rmag,USNO-B1.0,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Bmag1,Rmag1,Bmag2,Rmag2,Imag,Epoch,pmRA,pmDE,e_pmRA,e_pmDE,Flags,B1s/g,R1s/g,B2s/g,R2s/g,Is/g
0.056132,154.7472083,21.2369889,10 18 59.33,+21 14 13.16,19.38,1112-00190409,154.747192,+21.236992,1.019,0.731,0,,19.38,,17.63,,1977.1,0,0,0,0,...,,3,,2,
0.010644,154.8650833,15.05495,10 19 27.62,+15 03 17.82,18.89,1050-00189608,154.865081,+15.054948,1.019,0.965,0,20.20,18.89,,19.44,,1968.1,102,-36,24,88,...,2,3,,2,
0.147875,155.519,24.4411194,10 22 04.56,+24 26 28.03,18.9,1144-00176282,155.519045,+24.441120,1.019,0.464,90,,18.90,,18.86,,1972.6,0,0,0,0,...,,8,,9,
0.026143,155.8862917,16.83585,10 23 32.71,+16 50 09.06,18.88,1068-00197046,155.886284,+16.835850,1.019,0.923,90,,18.88,,19.34,18.53,1982.4,16,240,65,31,...,,9,,5,
0.130963,157.6142917,22.7381,10 30 27.43,+22 44 17.16,19.08,1127-00223968,157.614331,+22.738103,1.019,1.010,90,,19.08,,18.43,,1976.6,0,0,0,0,...,,9,,2,
0.188317,160.2017917,21.8912111,10 40 48.43,+21 53 28.36,19.36,1118-00210657,160.201848,+21.891209,1.019,1.019,90,,19.36,,19.39,,1976.6,0,0,0,0,...,,8,,8,
0.014925,160.81,17.18125,10 43 14.40,+17 10 52.50,18.99,1071-00217752,160.810003,+17.181253,1.019,0.530,0,,18.99,,19.38,19.06,1950.0,-2,4,0,2,...,,2,,1,
0.047317,162.898875,15.2274194,10 51 35.73,+15 13 38.71,18.91,1052-00197620,162.898862,+15.227423,1.019,1.019,90,19.28,18.91,,19.16,,1963.7,0,0,0,0,...,4,10,,9,
0.067955,163.9097083,14.9274306,10 55 38.33,+14 55 38.75,18.54,1049-00195205,163.909689,+14.927428,1.019,1.019,90,,18.54,,19.47,,1972.6,0,0,0,0,...,,3,,1,
0.080870,166.9625833,35.0373611,11 07 51.02,+35 02 14.50,19.23,1250-00187336,166.962556,+35.037362,1.019,0.360,90,,19.23,,19.18,,1972.6,0,0,0,0,...,,8,,9,
0.058235,166.9732083,18.8411611,11 07 53.57,+18 50 28.18,18.38,1088-00191463,166.973225,+18.841164,1.019,1.019,90,,18.38,19.89,18.76,,1979.2,64,-264,64,44,...,,5,8,10,
2.936737,166.9732083,18.8411611,11 07 53.57,+18 50 28.18,18.38,1088-00191460,166.972700,+18.841820,1.019,1.019,90,21.00,20.32,20.55,,,1964.2,-16,-424,75,117,...,2,4,7,,
0.057574,168.6885,8.2962389,11 14 45.24,+08 17 46.46,18.23,0982-00235303,168.688484,+8.296237,1.019,1.019,90,20.64,18.23,,19.23,,1963.2,456,-66,94,37,...,9,2,,9,
2.182512,168.6885,8.2962389,11 14 45.24,+08 17 46.46,18.23,0982-00235302,168.688025,+8.295856,1.019,0.836,0,20.20,19.94,,18.90,,1963.2,474,-190,19,141,...,1,2,,9,
0.019970,170.0562083,7.9488111,11 20 13.49,+07 56 55.72,18.69,0979-00247952,170.056206,+7.948806,1.019,1.019,90,20.40,18.69,,19.07,,1968.9,166,-30,66,139,...,8,3,,4,
0.180715,171.1087917,2.1204889,11 24 26.11,+02 07 13.76,19.03,0921-00256591,171.108842,+2.120487,1.019,0.757,0,20.33,19.03,20.75,18.49,,1975.2,-106,-114,22,52,...,9,9,1,3,
3.791819,171.1087917,2.1204889,11 24 26.11,+02 07 13.76,19.03,0921-00256592,171.109812,+2.120753,0.534,0.235,0,20.23,,,19.63,,1972.1,0,0,0,0,...,8,,,7,
4.116911,171.1087917,2.1204889,11 24 26.11,+02 07 13.76,19.03,0921-00256590,171.108734,+2.121631,0.727,0.269,90,,19.81,20.56,,,1973.1,0,0,0,0,...,,4,8,,
0.073039,172.8249167,10.2237111,11 31 17.98,+10 13 25.36,18.6,1002-00196922,172.824937,+10.223714,1.019,0.544,0,,18.60,,19.34,,1969.7,0,0,0,0,...,,8,,9,
0.113002,172.8954167,4.2643194,11 31 34.90,+04 15 51.55,19.25,0942-00195735,172.895448,+4.264323,1.007,0.239,90,,19.25,,19.48,,1971.6,0,0,0,0,...,,2,,3,
0.021584,173.067,2.5734194,11 32 16.08,+02 34 24.31,19.03,0925-00270619,173.066998,+2.573425,1.019,0.200,0,,19.03,,16.77,18.47,1979.9,-336,-56,0,131,...,,8,,2,
0.147615,173.1057083,5.3825,11 32 25.37,+05 22 57.00,19.21,0953-00203706,173.105667,+5.382500,1.019,0.611,0,,19.21,,19.24,,1974.2,0,0,0,0,...,,8,,8,
0.022318,177.3820833,16.1214806,11 49 31.70,+16 07 17.33,17.05,1061-00195926,177.382078,+16.121484,1.019,1.019,90,,17.05,,19.27,,1972.2,0,0,0,0,...,,2,,8,
0.071445,178.3829167,63.0664889,11 53 31.90,+63 03 59.36,19.43,1530-00234925,178.382875,+63.066495,1.019,1.019,90,,19.43,,18.42,,1975.0,0,0,0,0,...,,9,,4,
0.022119,179.092,67.0767583,11 56 22.08,+67 04 36.33,19.49,1570-00148491,179.092006,+67.076764,1.019,1.019,90,,19.49,,19.40,,1975.5,0,0,0,0,...,,4,,9,
0.029523,184.4542917,67.6742778,12 17 49.03,+67 40 27.40,19.27,1576-00165730,184.454306,+67.674284,1.019,1.019,90,,19.27,,18.10,17.33,1982.7,-42,204,84,68,...,,9,,9,
3.281171,184.4542917,67.6742778,12 17 49.03,+67 40 27.40,19.27,1576-00165731,184.454506,+67.673370,0.675,0.452,90,,,,18.00,17.64,1997.5,0,0,0,0,...,,,,3,
0.059760,185.816625,16.4708111,12 23 15.99,+16 28 14.92,19.23,1064-00198442,185.816642,+16.470814,1.019,1.019,90,,19.23,,19.04,,1974.1,0,0,0,0,...,,3,,9,
0.020226,187.4065833,61.2999917,12 29 37.58,+61 17 59.97,18.44,1512-00195103,187.406573,+61.299989,1.019,0.407,90,,18.44,,19.47,,1974.3,0,0,0,0,...,,7,,5,
0.084780,187.62,20.7169306,12 30 28.80,+20 43 00.95,16.95,1107-00208153,187.620025,+20.716934,1.019,1.019,90,,16.95,,19.39,,1976.2,0,0,0,0,...,,9,,4,
0.071027,187.9797083,-2.1061194,12 31 55.13,-02 06 22.03,18.24,0878-00341693,187.979689,-2.106123,1.019,0.553,0,,18.24,17.47,12.60,,1976.9,46,134,18,52,...,,10,2,8,
0.021276,188.288625,43.2352917,12 33 09.27,+43 14 07.05,19.37,1332-00267455,188.288617,+43.235292,0.524,0.386,90,,19.37,,19.46,,1974.7,0,0,0,0,...,,3,,3,
1.550348,188.288625,43.2352917,12 33 09.27,+43 14 07.05,19.37,1332-00267454,188.288350,+43.235673,0.356,0.223,90,,19.73,,19.38,,1974.7,0,0,0,0,...,,1,,4,
