,USNO Object (ID),RA (deg),DEC (deg),r (mag),PM?,PM_RA (mas/yr),DEC_RA (mas/yr),Closest Pan-STARRS Object (ID),PS Match?,Closest GAIA Object (ID),G Match?,Candidate?
86,1146-00226194,245.468959,71.848331,17.62,1,212,674,PSO J245.4711+71.8486,0,Gaia DR3 1654096496733795072,0,1
87,1129-00279272,232.422612,22.971723,16.18,0,0,0,PSO J232.4230+22.9711,0,0,0,1
88,1330-00312032,234.630975,43.034712,17.57,0,0,0,0,0,0,0,1
89,0990-00256119,235.269937,9.015137,16.49,0,0,0,0,0,0,0,1
90,1524-00268204,237.229462,62.414553,19.25,0,0,0,0,0,0,0,1
91,1285-00259040,242.438298,38.580195,18.85,0,0,0,PSO J242.4383+38.5804,1,0,0,0
92,1515-00220866,242.505006,61.519787,17.79,0,0,0,0,0,0,0,1
93,1513-00221489,246.001339,61.350075,18.21,0,0,0,0,0,0,0,1
94,1240-00243592,248.608259,34.073459,17.4,0,0,0,0,0,0,0,1
95,1340-00289064,260.145242,44.00315,19.49,0,0,0,PSO J260.1458+44.0030,1,0,0,0
96,1639-00099553,261.435853,73.902706,19.39,0,0,0,0,0,0,0,1
97,1309-00305148,277.742217,40.900045,18.55,0,0,0,PSO J277.7422+40.9000,1,Gaia DR3 2110356954263004160,0,0
98,1679-00098454,283.374209,77.91682,17.23,0,0,0,0,0,0,0,1
