,RA_table,DEC_table,r(mag)_table,ID_USNO,RA_USNO,DEC_USNO,r1(mag)_USNO,r2(mag)_USNO,dd,dr,USNOmatch?,pm?,pm,pm_RA,pm_DEC,e_pm_RA,e_pm_DEC,new_RA,new_DEC,e_new_RA,e_new_DEC
50,171.1087917,2.1204889,19.03,0921-00256591,171.108842,2.120487,19.03,18.49,0.180715,0.0,yes,1,155.66630977832037,-106,-114,22,52,171.1067808888889,2.1182703333333333,1.54,3.64
51,172.8249167,10.2237111,18.6,1002-00196922,172.824937,10.223714,18.6,19.34,0.073039,0.0,yes,0,0.0,0,0,0,0,172.824937,10.223714,0.0,0.0
52,172.8954167,4.2643194,19.25,0942-00195735,172.895448,4.264323,19.25,19.48,0.113002,0.0,yes,0,0.0,0,0,0,0,172.895448,4.264323,0.0,0.0
53,173.067,2.5734194,19.03,0925-00270619,173.066998,2.573425,19.03,16.77,0.021584,0.0,yes,1,340.6347016967003,-336,-56,0,131,173.0604646666667,2.572336111111111,0.0,9.17
54,173.1057083,5.3825,19.21,0953-00203706,173.105667,5.3825,19.21,19.24,0.147615,0.0,yes,0,0.0,0,0,0,0,173.105667,5.3825,0.0,0.0
55,177.3820833,16.1214806,17.05,1061-00195926,177.382078,16.121484,17.05,19.27,0.022318,0.0,yes,0,0.0,0,0,0,0,177.382078,16.121484,0.0,0.0
56,178.3829167,63.0664889,19.43,1530-00234925,178.382875,63.066495,19.43,18.42,0.071445,0.0,yes,0,0.0,0,0,0,0,178.382875,63.066495,0.0,0.0
57,179.092,67.0767583,19.49,1570-00148491,179.092006,67.076764,19.49,19.4,0.022119,0.0,yes,0,0.0,0,0,0,0,179.092006,67.076764,0.0,0.0
58,184.4542917,67.6742778,19.27,1576-00165730,184.454306,67.674284,19.27,18.1,0.029523,0.0,yes,1,208.2786594925174,-42,204,84,68,184.45348933333332,67.67825066666667,5.88,4.76
59,185.816625,16.4708111,19.23,1064-00198442,185.816642,16.470814,19.23,19.04,0.05976,0.0,yes,0,0.0,0,0,0,0,185.816642,16.470814,0.0,0.0
60,187.4065833,61.2999917,18.44,1512-00195103,187.406573,61.299989,18.44,19.47,0.020226,0.0,yes,0,0.0,0,0,0,0,187.406573,61.299989,0.0,0.0
61,187.62,20.7169306,16.95,1107-00208153,187.620025,20.716934,16.95,19.39,0.08478,0.0,yes,0,0.0,0,0,0,0,187.620025,20.716934,0.0,0.0
62,187.9797083,-2.1061194,18.24,0878-00341693,187.979689,-2.106123,18.24,12.6,0.071027,0.0,yes,1,141.6756859873987,46,134,18,52,187.98058344444445,-2.1035174444444444,1.26,3.64
